# angle in degree, follower displacement, angle in radian, cam radial distance
1.350000000000000000e+02,9.998000000000001108e+00,2.356194490192344837e+00,1.999800000000000111e+01
1.360000000000000000e+02,9.998000000000001108e+00,2.373647782712288379e+00,1.999800000000000111e+01
1.370000000000000000e+02,9.998000000000001108e+00,2.391101075232231477e+00,1.999800000000000111e+01
1.380000000000000000e+02,9.998000000000001108e+00,2.408554367752174574e+00,1.999800000000000111e+01
1.390000000000000000e+02,9.998000000000001108e+00,2.426007660272118116e+00,1.999800000000000111e+01
1.400000000000000000e+02,9.998000000000001108e+00,2.443460952792061214e+00,1.999800000000000111e+01
1.410000000000000000e+02,9.998000000000001108e+00,2.460914245312004756e+00,1.999800000000000111e+01
1.420000000000000000e+02,9.998000000000001108e+00,2.478367537831947853e+00,1.999800000000000111e+01
1.430000000000000000e+02,9.998000000000001108e+00,2.495820830351891395e+00,1.999800000000000111e+01
1.440000000000000000e+02,9.998000000000001108e+00,2.513274122871834493e+00,1.999800000000000111e+01
1.450000000000000000e+02,9.998000000000001108e+00,2.530727415391778035e+00,1.999800000000000111e+01
1.460000000000000000e+02,9.998000000000001108e+00,2.548180707911721132e+00,1.999800000000000111e+01
1.470000000000000000e+02,9.998000000000001108e+00,2.565634000431664230e+00,1.999800000000000111e+01
1.480000000000000000e+02,9.998000000000001108e+00,2.583087292951607772e+00,1.999800000000000111e+01
1.490000000000000000e+02,9.998000000000001108e+00,2.600540585471550870e+00,1.999800000000000111e+01
1.500000000000000000e+02,9.998000000000001108e+00,2.617993877991494411e+00,1.999800000000000111e+01
1.510000000000000000e+02,9.998000000000001108e+00,2.635447170511437509e+00,1.999800000000000111e+01
1.520000000000000000e+02,9.998000000000001108e+00,2.652900463031381051e+00,1.999800000000000111e+01
1.530000000000000000e+02,9.998000000000001108e+00,2.670353755551324149e+00,1.999800000000000111e+01
1.540000000000000000e+02,9.998000000000001108e+00,2.687807048071267690e+00,1.999800000000000111e+01
1.550000000000000000e+02,9.998000000000001108e+00,2.705260340591210788e+00,1.999800000000000111e+01
1.560000000000000000e+02,9.998000000000001108e+00,2.722713633111153886e+00,1.999800000000000111e+01
1.570000000000000000e+02,9.998000000000001108e+00,2.740166925631097428e+00,1.999800000000000111e+01
1.580000000000000000e+02,9.998000000000001108e+00,2.757620218151040525e+00,1.999800000000000111e+01
1.590000000000000000e+02,9.998000000000001108e+00,2.775073510670984067e+00,1.999800000000000111e+01
1.600000000000000000e+02,9.998000000000001108e+00,2.792526803190927165e+00,1.999800000000000111e+01
1.610000000000000000e+02,9.998000000000001108e+00,2.809980095710870707e+00,1.999800000000000111e+01
1.620000000000000000e+02,9.998000000000001108e+00,2.827433388230813804e+00,1.999800000000000111e+01
1.630000000000000000e+02,9.998000000000001108e+00,2.844886680750757346e+00,1.999800000000000111e+01
1.640000000000000000e+02,9.998000000000001108e+00,2.862339973270700444e+00,1.999800000000000111e+01
1.650000000000000000e+02,9.998000000000001108e+00,2.879793265790643542e+00,1.999800000000000111e+01
1.660000000000000000e+02,9.998000000000001108e+00,2.897246558310587083e+00,1.999800000000000111e+01
1.670000000000000000e+02,9.998000000000001108e+00,2.914699850830530181e+00,1.999800000000000111e+01
1.680000000000000000e+02,9.998000000000001108e+00,2.932153143350473723e+00,1.999800000000000111e+01
1.690000000000000000e+02,9.998000000000001108e+00,2.949606435870416821e+00,1.999800000000000111e+01
1.700000000000000000e+02,9.998000000000001108e+00,2.967059728390360362e+00,1.999800000000000111e+01
1.710000000000000000e+02,9.998000000000001108e+00,2.984513020910303460e+00,1.999800000000000111e+01
1.720000000000000000e+02,9.998000000000001108e+00,3.001966313430247002e+00,1.999800000000000111e+01
1.730000000000000000e+02,9.998000000000001108e+00,3.019419605950190100e+00,1.999800000000000111e+01
1.740000000000000000e+02,9.998000000000001108e+00,3.036872898470133197e+00,1.999800000000000111e+01
1.750000000000000000e+02,9.998000000000001108e+00,3.054326190990076739e+00,1.999800000000000111e+01
1.760000000000000000e+02,9.998000000000001108e+00,3.071779483510019837e+00,1.999800000000000111e+01
1.770000000000000000e+02,9.998000000000001108e+00,3.089232776029963379e+00,1.999800000000000111e+01
1.780000000000000000e+02,9.998000000000001108e+00,3.106686068549906476e+00,1.999800000000000111e+01
1.790000000000000000e+02,9.998000000000001108e+00,3.124139361069850018e+00,1.999800000000000111e+01
1.800000000000000000e+02,9.998000000000001108e+00,3.141592653589793116e+00,1.999800000000000111e+01
1.810000000000000000e+02,9.998000000000001108e+00,3.159045946109736658e+00,1.999800000000000111e+01
1.820000000000000000e+02,9.998000000000001108e+00,3.176499238629679756e+00,1.999800000000000111e+01
1.830000000000000000e+02,9.998000000000001108e+00,3.193952531149622853e+00,1.999800000000000111e+01
1.840000000000000000e+02,9.998000000000001108e+00,3.211405823669566395e+00,1.999800000000000111e+01
1.850000000000000000e+02,9.998000000000001108e+00,3.228859116189509493e+00,1.999800000000000111e+01
1.860000000000000000e+02,9.998000000000001108e+00,3.246312408709453035e+00,1.999800000000000111e+01
1.870000000000000000e+02,9.998000000000001108e+00,3.263765701229396132e+00,1.999800000000000111e+01
1.880000000000000000e+02,9.998000000000001108e+00,3.281218993749339674e+00,1.999800000000000111e+01
1.890000000000000000e+02,9.998000000000001108e+00,3.298672286269282772e+00,1.999800000000000111e+01
1.900000000000000000e+02,9.998000000000001108e+00,3.316125578789226314e+00,1.999800000000000111e+01
1.910000000000000000e+02,9.998000000000001108e+00,3.333578871309169411e+00,1.999800000000000111e+01
1.920000000000000000e+02,9.998000000000001108e+00,3.351032163829112953e+00,1.999800000000000111e+01
1.930000000000000000e+02,9.998000000000001108e+00,3.368485456349056051e+00,1.999800000000000111e+01
1.940000000000000000e+02,9.998000000000001108e+00,3.385938748868999149e+00,1.999800000000000111e+01
1.950000000000000000e+02,9.998000000000001108e+00,3.403392041388942690e+00,1.999800000000000111e+01
1.960000000000000000e+02,9.998000000000001108e+00,3.420845333908885788e+00,1.999800000000000111e+01
1.970000000000000000e+02,9.998000000000001108e+00,3.438298626428829330e+00,1.999800000000000111e+01
1.980000000000000000e+02,9.998000000000001108e+00,3.455751918948772428e+00,1.999800000000000111e+01
1.990000000000000000e+02,9.998000000000001108e+00,3.473205211468715969e+00,1.999800000000000111e+01
2.000000000000000000e+02,1.000000000000000000e+01,3.490658503988659067e+00,2.000000000000000000e+01
2.010000000000000000e+02,9.998000000000001108e+00,3.508111796508602609e+00,1.999800000000000111e+01
2.020000000000000000e+02,9.991999999999999105e+00,3.525565089028545707e+00,1.999199999999999733e+01
2.030000000000000000e+02,9.981999999999999318e+00,3.543018381548488804e+00,1.998199999999999932e+01
2.040000000000000000e+02,9.967999999999999972e+00,3.560471674068432346e+00,1.996799999999999997e+01
2.050000000000000000e+02,9.949999999999999289e+00,3.577924966588375444e+00,1.994999999999999929e+01
2.060000000000000000e+02,9.928000000000000824e+00,3.595378259108318986e+00,1.992800000000000082e+01
2.070000000000000000e+02,9.901999999999999247e+00,3.612831551628262083e+00,1.990200000000000102e+01
2.080000000000000000e+02,9.871999999999999886e+00,3.630284844148205625e+00,1.987199999999999989e+01
2.090000000000000000e+02,9.838000000000000966e+00,3.647738136668148723e+00,1.983800000000000097e+01
2.100000000000000000e+02,9.800000000000000711e+00,3.665191429188092265e+00,1.980000000000000071e+01
2.110000000000000000e+02,9.757999999999999119e+00,3.682644721708035362e+00,1.975799999999999912e+01
2.120000000000000000e+02,9.711999999999999744e+00,3.700098014227978460e+00,1.971199999999999974e+01
2.130000000000000000e+02,9.661999999999999034e+00,3.717551306747922002e+00,1.966199999999999903e+01
2.140000000000000000e+02,9.608000000000000540e+00,3.735004599267865100e+00,1.960800000000000054e+01
2.150000000000000000e+02,9.549999999999998934e+00,3.752457891787808641e+00,1.954999999999999716e+01
2.160000000000000000e+02,9.487999999999999545e+00,3.769911184307751739e+00,1.948799999999999955e+01
2.170000000000000000e+02,9.422000000000000597e+00,3.787364476827695281e+00,1.942200000000000060e+01
2.180000000000000000e+02,9.352000000000000313e+00,3.804817769347638379e+00,1.935200000000000031e+01
2.190000000000000000e+02,9.277999999999998693e+00,3.822271061867581921e+00,1.927799999999999869e+01
