0.000,0.000,20.000,0.000
0.036,0.204,20.191,0.719
0.071,0.408,20.356,1.453
0.107,0.612,20.495,2.198
0.142,0.816,20.605,2.956
0.178,1.020,20.688,3.724
0.214,1.224,20.742,4.502
0.249,1.429,20.766,5.288
0.285,1.633,20.760,6.081
0.321,1.837,20.724,6.881
0.356,2.041,20.657,7.686
0.392,2.245,20.559,8.494
0.427,2.449,20.429,9.306
0.463,2.653,20.268,10.119
0.499,2.857,20.074,10.932
0.534,3.061,19.847,11.743
0.570,3.265,19.588,12.553
0.606,3.469,19.297,13.359
0.641,3.673,18.972,14.159
0.677,3.878,18.615,14.954
0.712,4.082,18.225,15.741
0.748,4.286,17.803,16.518
0.784,4.490,17.348,17.286
0.819,4.694,16.860,18.042
0.855,4.898,16.341,18.785
0.890,5.102,15.790,19.514
0.926,5.306,15.208,20.227
0.962,5.510,14.595,20.923
0.997,5.714,13.951,21.601
1.033,5.918,13.278,22.259
1.069,6.122,12.575,22.897
1.104,6.327,11.843,23.512
1.140,6.531,11.084,24.104
1.175,6.735,10.297,24.672
1.211,6.939,9.484,25.214
1.247,7.143,8.645,25.729
1.282,7.347,7.781,26.217
1.318,7.551,6.893,26.675
1.354,7.755,5.983,27.103
1.389,7.959,5.051,27.499
1.425,8.163,4.098,27.863
1.460,8.367,3.126,28.195
1.496,8.571,2.135,28.492
1.532,8.776,1.127,28.753
1.567,8.980,0.103,28.979
1.603,9.184,-0.935,29.169
1.638,9.388,-1.987,29.320
1.674,9.592,-3.051,29.434
1.710,9.796,-4.126,29.509
1.745,10.000,-5.209,29.544
1.745,10.000,-5.209,29.544
1.791,10.000,-6.560,29.274
1.837,10.000,-7.898,28.942
1.883,10.000,-9.218,28.549
1.929,10.000,-10.519,28.095
1.975,10.000,-11.798,27.583
2.021,10.000,-13.052,27.012
2.067,10.000,-14.278,26.384
2.113,10.000,-15.475,25.701
2.159,10.000,-16.638,24.963
2.205,10.000,-17.767,24.173
2.251,10.000,-18.858,23.332
2.296,10.000,-19.910,22.441
2.342,10.000,-20.919,21.503
2.388,10.000,-21.884,20.520
2.434,10.000,-22.803,19.494
2.480,10.000,-23.674,18.426
2.526,10.000,-24.495,17.320
2.572,10.000,-25.265,16.177
2.618,10.000,-25.981,15.000
2.618,10.000,-25.981,15.000
2.654,9.796,-26.318,13.970
2.689,9.592,-26.615,12.934
2.725,9.388,-26.873,11.896
2.760,9.184,-27.090,10.855
2.796,8.980,-27.267,9.815
2.832,8.776,-27.405,8.775
2.867,8.571,-27.504,7.738
2.903,8.367,-27.563,6.706
2.939,8.163,-27.585,5.679
2.974,7.959,-27.568,4.659
3.010,7.755,-27.514,3.647
3.045,7.551,-27.424,2.646
3.081,7.347,-27.297,1.655
3.117,7.143,-27.134,0.677
3.152,6.939,-26.937,-0.288
3.188,6.735,-26.706,-1.237
3.224,6.531,-26.442,-2.171
3.259,6.327,-26.145,-3.087
3.295,6.122,-25.817,-3.985
3.330,5.918,-25.458,-4.864
3.366,5.714,-25.070,-5.722
3.402,5.510,-24.653,-6.559
3.437,5.306,-24.208,-7.373
3.473,5.102,-23.737,-8.164
3.508,4.898,-23.241,-8.931
3.544,4.694,-22.721,-9.673
3.580,4.490,-22.177,-10.389
3.615,4.286,-21.611,-11.079
3.651,4.082,-21.025,-11.742
3.687,3.878,-20.419,-12.378
3.722,3.673,-19.794,-12.985
3.758,3.469,-19.153,-13.564
3.793,3.265,-18.495,-14.114
3.829,3.061,-17.823,-14.634
3.865,2.857,-17.138,-15.124
3.900,2.653,-16.440,-15.585
3.936,2.449,-15.732,-16.015
3.972,2.245,-15.014,-16.414
4.007,2.041,-14.287,-16.783
4.043,1.837,-13.554,-17.121
4.078,1.633,-12.815,-17.428
4.114,1.429,-12.071,-17.705
4.150,1.224,-11.324,-17.951
4.185,1.020,-10.575,-18.167
4.221,0.816,-9.825,-18.352
4.256,0.612,-9.075,-18.507
4.292,0.408,-8.327,-18.632
4.328,0.204,-7.582,-18.728
4.363,0.000,-6.840,-18.794
4.363,0.000,-6.840,-18.794
4.464,0.000,-4.910,-19.388
4.565,0.000,-2.929,-19.784
4.666,0.000,-0.918,-19.979
4.768,0.000,1.102,-19.970
4.869,0.000,3.111,-19.757
4.970,0.000,5.088,-19.342
5.071,0.000,7.013,-18.730
5.172,0.000,8.866,-17.927
5.273,0.000,10.630,-16.941
5.374,0.000,12.284,-15.783
5.475,0.000,13.814,-14.463
5.576,0.000,15.202,-12.996
5.677,0.000,16.436,-11.396
5.778,0.000,17.501,-9.680
5.879,0.000,18.388,-7.865
5.980,0.000,19.088,-5.970
6.081,0.000,19.593,-4.014
6.182,0.000,19.898,-2.017
6.283,0.000,20.000,-0.000
